"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AQUAPROD","TOT","USD","A","2000",253729466,
"AUS","AQUAPROD","TOT","USD","A","2001",255158653,
"AUS","AQUAPROD","TOT","USD","A","2002",262864370,
"AUS","AQUAPROD","TOT","USD","A","2003",284096105,
"AUS","AQUAPROD","TOT","USD","A","2004",375821910,
"AUS","AQUAPROD","TOT","USD","A","2005",351835462,
"AUS","AQUAPROD","TOT","USD","A","2006",435937172,
"AUS","AQUAPROD","TOT","USD","A","2007",550348253,
"AUS","AQUAPROD","TOT","USD","A","2008",597747114,
"AUS","AQUAPROD","TOT","USD","A","2009",622509716,
"AUS","AQUAPROD","TOT","USD","A","2010",726172130,
"AUS","AQUAPROD","TOT","USD","A","2011",852699409,
"AUS","AQUAPROD","TOT","USD","A","2012",969132342,
"AUS","AQUAPROD","TOT","USD","A","2013",941627189,
"AUS","AQUAPROD","TOT","USD","A","2014",714528621,
"AUS","AQUAPROD","TOT","USD","A","2015",667973688,
"AUS","AQUAPROD","TOT","USD","A","2016",753852106,
"AUS","AQUAPROD","TOT","USD","A","2017",822430766,
"AUS","AQUAPROD","TOT","USD","A","2018",930586713,
"AUS","AQUAPROD","TOT","USD","A","2019",883319525,
"AUS","AQUAPROD","TOT","USD","A","2020",971379052,
"AUS","AQUAPROD","TOT","USD","A","2021",1266956510,
"AUT","AQUAPROD","TOT","USD","A","2000",11960535,
"AUT","AQUAPROD","TOT","USD","A","2001",10960850,
"AUT","AQUAPROD","TOT","USD","A","2002",10837300,
"AUT","AQUAPROD","TOT","USD","A","2003",10339110,
"AUT","AQUAPROD","TOT","USD","A","2004",10168700,
"AUT","AQUAPROD","TOT","USD","A","2005",10913800,
"AUT","AQUAPROD","TOT","USD","A","2006",15698700,
"AUT","AQUAPROD","TOT","USD","A","2007",15956500,
"AUT","AQUAPROD","TOT","USD","A","2008",18740000,
"AUT","AQUAPROD","TOT","USD","A","2009",19357000,
"AUT","AQUAPROD","TOT","USD","A","2010",26985900,
"AUT","AQUAPROD","TOT","USD","A","2011",23528248,
"AUT","AQUAPROD","TOT","USD","A","2012",23002084,
"AUT","AQUAPROD","TOT","USD","A","2013",24499793,
"AUT","AQUAPROD","TOT","USD","A","2014",26797880,
"AUT","AQUAPROD","TOT","USD","A","2015",22436991,
"AUT","AQUAPROD","TOT","USD","A","2016",24874794,
"AUT","AQUAPROD","TOT","USD","A","2017",28616236,
