"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2018",1.692,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.485,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2020",2.4,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2021",2.021,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2022",2.049,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2023",2.081,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2024",2.108,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2025",2.135,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2026",2.163,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2027",2.193,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2028",2.222,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2029",2.251,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2030",2.279,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.274,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.384,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.512,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.39,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2022",3.492,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2023",3.529,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2024",3.563,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2025",3.597,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2026",3.633,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2027",3.67,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2028",3.707,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2029",3.745,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2030",3.782,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.609,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2019",4.901,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2020",4.878,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2021",4.076,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2022",4.089,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2023",4.101,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2024",4.113,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2025",4.125,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2026",4.138,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2027",4.15,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2028",4.163,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2029",4.175,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2030",4.188,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.185,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.195,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.203,
